Jan,Jan-temp-high,Jan-temp-avg,Jan-temp-low,Jan-dew-high,Jan-dew-avg,Jan-dew-low,Jan-humidity-low,Jan-humidity-avg,Jan-humidity-low,Jan-seapress-low,Jan-seapress-avg,Jan-seapress-low,Jan-visibility-low,Jan-visibility-avg,Jan-visibility-low,Jan-wind-high,Jan-wind-avg,Jan-wind-high,Jan-precip-inches,Jan-events,Feb-,Feb-temp-high,Feb-temp-avg,Feb-temp-low,Feb-dew-high,Feb-dew-avg,Feb-dew-low,Feb-humidity-low,Feb-humidity-avg,Feb-humidity-low,Feb-seapress-low,Feb-seapress-avg,Feb-seapress-low,Feb-visibility-low,Feb-visibility-avg,Feb-visibility-low,Feb-wind-high,Feb-wind-avg,Feb-wind-high,Feb-precip-inches,Feb-events,March-,Mar-temp-high,Mar-temp-avg,Mar-temp-low,Mar-dew-high,Mar-dew-avg,Mar-dew-low,Mar-humidity-low,Mar-humidity-avg,Mar-humidity-low,Mar-seapress-low,Mar-seapress-avg,Mar-seapress-low,Mar-visibility-low,Mar-visibility-avg,Mar-visibility-low,Mar-wind-high,Mar-wind-avg,Mar-wind-high,Mar-precip-inches,Mar-events,Apr-,Apr-temp-high,Apr-temp-avg,Apr-temp-low,Apr-dew-high,Apr-dew-avg,Apr-dew-low,Apr-humidity-low,Apr-humidity-avg,Apr-humidity-low,Apr-seapress-low,Apr-seapress-avg,Apr-seapress-low,Apr-visibility-low,Apr-visibility-avg,Apr-visibility-low,Apr-wind-high,Apr-wind-avg,Apr-wind-high,Apr-precip-inches,Apr-events,May-,May-temp-high,May-temp-avg,May-temp-low,May-dew-high,May-dew-avg,May-dew-low,May-humidity-low,May-humidity-avg,May-humidity-low,May-seMayess-low,May-seMayess-avg,May-seMayess-low,May-visibility-low,May-visibility-avg,May-visibility-low,May-wind-high,May-wind-avg,May-wind-high,May-precip-inches,May-events,June-,June-temp-high,June-temp-avg,June-temp-low,June-dew-high,June-dew-avg,June-dew-low,June-humidity-low,June-humidity-avg,June-humidity-low,June-seJuneess-low,June-seJuneess-avg,June-seJuneess-low,June-visibility-low,June-visibility-avg,June-visibility-low,June-wind-high,June-wind-avg,June-wind-high,June-precip-inches,June-events,July-,July-temp-high,July-temp-avg,July-temp-low,July-dew-high,July-dew-avg,July-dew-low,July-humidity-low,July-humidity-avg,July-humidity-low,July-seJulyess-low,July-seJulyess-avg,July-seJulyess-low,July-visibility-low,July-visibility-avg,July-visibility-low,July-wind-high,July-wind-avg,July-wind-high,July-precip-inches,July-events,Aug-,Aug-temp-high,Aug-temp-avg,Aug-temp-low,Aug-dew-high,Aug-dew-avg,Aug-dew-low,Aug-humidity-low,Aug-humidity-avg,Aug-humidity-low,Aug-seAugess-low,Aug-seAugess-avg,Aug-seAugess-low,Aug-visibility-low,Aug-visibility-avg,Aug-visibility-low,Aug-wind-high,Aug-wind-avg,Aug-wind-high,Aug-precip-inches,Aug-events,Sep-,Sep-temp-high,Sep-temp-avg,Sep-temp-low,Sep-dew-high,Sep-dew-avg,Sep-dew-low,Sep-humidity-low,Sep-humidity-avg,Sep-humidity-low,Sep-seSepess-low,Sep-seSepess-avg,Sep-seSepess-low,Sep-visibility-low,Sep-visibility-avg,Sep-visibility-low,Sep-wind-high,Sep-wind-avg,Sep-wind-high,Sep-precip-inches,Sep-events,Oct-,Oct-temp-high,Oct-temp-avg,Oct-temp-low,Oct-dew-high,Oct-dew-avg,Oct-dew-low,Oct-humidity-low,Oct-humidity-avg,Oct-humidity-low,Oct-seOctess-low,Oct-seOctess-avg,Oct-seOctess-low,Oct-visibility-low,Oct-visibility-avg,Oct-visibility-low,Oct-wind-high,Oct-wind-avg,Oct-wind-high,Oct-precip-inches,Oct-events,Nov-,Nov-temp-high,Nov-temp-avg,Nov-temp-low,Nov-dew-high,Nov-dew-avg,Nov-dew-low,Nov-humidity-low,Nov-humidity-avg,Nov-humidity-low,Nov-seNovess-low,Nov-seNovess-avg,Nov-seNovess-low,Nov-visibility-low,Nov-visibility-avg,Nov-visibility-low,Nov-wind-high,Nov-wind-avg,Nov-wind-high,Nov-precip-inches,Nov-events,Dec-,Dec-temp-high,Dec-temp-avg,Dec-temp-low,Dec-dew-high,Dec-dew-avg,Dec-dew-low,Dec-humidity-low,Dec-humidity-avg,Dec-humidity-low,Dec-seDecess-low,Dec-seDecess-avg,Dec-seDecess-low,Dec-visibility-low,Dec-visibility-avg,Dec-visibility-low,Dec-wind-high,Dec-wind-avg,Dec-wind-high,Dec-precip-inches,Dec-events
1,49,43,37,32,27,22,76,57,38,30.2,30.15,30.12,10,10,10,17,9,20,0,None,1,56,51,45,39,32,26,66,52,38,30.28,30.19,30.01,10,10,10,24,15,31,0,None,1,70,62,53,59,51,37,97,67,37,30.18,30.14,30.09,10,10,9,22,8,25,0,None,1,62,58,53,51,50,49,93,81,69,30.22,30.18,30.13,10,10,10,21,14,26,0,None,1,80,67,54,55,48,40,93,61,28,29.96,29.85,29.8,10,10,10,16,6,20,0,None,1,75,64,53,59,52,47,86,70,53,29.95,29.88,29.83,10,10,10,21,10,26,0,None,1,70,62,54,53,50,49,89,71,53,29.91,29.87,29.83,10,10,6,20,12,24,0,None,1,74,66,57,54,53,52,86,68,49,30.01,29.96,29.92,10,10,10,28,12,30,0,None,1,68,63,58,56,54,52,87,75,63,30.01,29.96,29.93,10,10,10,23,11,29,0,None,1,69,62,54,51,50,49,89,69,49,30.16,30.1,30.04,10,10,9,31,17,37,0,None,1,64,59,53,53,50,48,80,68,56,30.16,30.08,29.99,10,10,8,17,9,21,0.02,None,1,60,52,44,45,40,33,89,65,40,30.17,30.13,30.09,10,10,10,20,7,22,0,None
2,51,48,44,38,34,31,71,61,50,30.13,30.05,29.97,10,10,10,15,6,16,0,None,2,55,51,46,48,43,39,100,83,66,30.32,30.25,30.22,10,9,2,18,9,22,0.18,Rain,2,67,61,54,59,55,50,100,86,72,30.14,30.1,30.05,10,10,7,21,7,28,0,None,2,67,60,52,54,51,48,96,77,58,30.22,30.17,30.11,10,10,10,28,10,31,0,None,2,65,58,51,56,52,49,100,86,72,30.06,30.03,29.97,10,10,10,23,11,27,0,None,2,72,63,54,56,52,49,93,71,49,30.01,29.98,29.94,10,10,7,23,11,26,0,None,2,74,64,54,55,52,49,89,69,49,29.99,29.94,29.9,10,10,10,15,8,18,0,None,2,69,63,56,55,53,52,86,73,59,30.03,29.99,29.94,10,10,10,24,12,28,0,None,2,71,63,55,53,52,50,86,70,53,29.94,29.9,29.86,10,10,10,26,12,32,0,None,2,68,62,56,54,52,47,86,67,48,30.08,30.06,30.04,10,10,9,23,14,28,0,None,2,69,60,51,53,50,46,89,72,55,30.2,30.17,30.14,10,10,10,16,5,20,0,None,2,62,56,49,40,35,32,63,49,34,30.23,30.2,30.16,10,10,10,32,17,39,0,None
3,53,49,44,44,39,35,86,70,54,29.96,29.87,29.8,10,10,9,9,2,10,0.04,Rain,3,53,48,42,46,41,38,89,74,59,30.45,30.38,30.32,10,10,10,16,5,17,0,None,3,64,61,58,61,56,51,100,85,69,30.12,30.08,30.04,10,10,10,16,6,19,0,Rain,3,62,57,51,54,50,47,96,76,56,30.16,30.13,30.11,10,10,10,23,12,30,0,None,3,65,58,51,52,51,50,100,82,63,30.04,29.98,29.92,10,10,8,24,14,28,0,None,3,87,72,56,61,52,48,83,56,29,30.01,29.95,29.9,10,10,10,23,10,27,0,None,3,74,64,54,55,53,50,89,71,53,30.04,30,29.97,10,10,10,16,9,18,0,None,3,73,64,54,55,52,50,86,68,49,29.99,29.96,29.92,10,10,8,26,11,31,0,None,3,66,62,57,53,52,50,80,72,63,29.89,29.85,29.81,10,10,10,29,14,36,0,None,3,65,60,54,52,50,48,89,73,56,30.12,30.06,29.99,10,10,10,13,5,14,0,None,3,71,62,53,54,50,45,93,67,40,30.2,30.14,30.08,10,10,10,9,3,11,0,None,3,62,53,44,50,43,36,86,67,47,30.3,30.22,30.18,10,10,8,18,5,22,0,None
4,58,53,47,51,46,43,89,83,77,29.78,29.74,29.64,10,8,3,21,6,27,0.11,Rain,4,58,53,47,46,43,41,83,69,55,30.47,30.41,30.37,10,10,10,17,6,19,0,None,4,64,62,60,64,59,55,100,92,84,30.04,29.97,29.9,10,8,2,26,8,32,0.2,Rain,4,66,59,52,55,51,48,100,78,56,30.25,30.21,30.17,10,10,7,25,17,29,0,None,4,67,60,52,55,53,51,100,79,58,29.94,29.89,29.86,10,10,10,20,9,23,0,None,4,74,65,56,54,52,50,86,70,53,29.92,29.89,29.87,10,10,10,22,11,26,0,None,4,73,64,55,55,53,50,86,70,53,30.04,30.01,29.97,10,10,10,23,10,27,0,None,4,67,62,56,54,52,50,86,72,58,29.98,29.95,29.92,10,10,9,21,12,31,0,None,4,67,62,56,51,50,49,83,70,56,29.88,29.85,29.82,10,10,10,28,14,33,0,None,4,70,64,57,54,51,47,80,64,48,30.07,30.01,29.99,10,10,10,28,13,33,0,None,4,72,64,55,56,52,50,93,71,49,30.16,30.12,30.09,10,10,7,15,6,17,0,None,4,59,52,45,52,48,42,93,78,62,30.22,30.16,30.12,10,10,8,28,10,33,0,None
5,55,53,50,50,48,45,96,87,77,29.83,29.7,29.6,10,8,3,24,10,29,1,Rain,5,61,52,43,48,44,39,86,71,55,30.44,30.4,30.36,10,10,10,8,3,10,0,None,5,65,61,56,59,56,52,93,86,78,29.92,29.77,29.57,10,6,2,43,15,53,1.45,Rain,5,79,65,50,55,46,38,89,57,25,30.25,30.17,30.09,10,10,9,23,6,26,0,None,5,67,61,54,56,54,53,100,84,67,29.89,29.87,29.86,10,10,10,18,10,22,0,None,5,72,63,53,55,52,51,93,71,49,29.93,29.88,29.82,10,10,10,28,13,35,0,None,5,67,61,55,52,50,49,86,69,52,30.02,29.99,29.96,10,10,10,25,11,29,0,None,5,69,62,55,53,52,51,86,70,53,29.94,29.91,29.88,10,10,10,24,11,29,0,None,5,72,63,53,54,50,47,77,63,48,29.88,29.84,29.81,10,10,10,25,9,28,0,None,5,70,62,54,52,49,44,83,62,40,30.09,30.06,30.03,10,10,10,28,11,32,0,None,5,66,60,53,56,54,48,89,79,68,30.13,30.09,30.05,10,10,8,21,6,23,0,None,5,55,53,50,51,46,38,93,80,66,30.12,30.08,30.04,10,10,10,18,7,21,0,None
6,55,52,48,47,45,44,86,79,71,29.78,29.7,29.63,10,9,6,26,11,34,0.99,Rain,6,63,54,45,49,45,43,93,73,41,30.44,30.37,30.31,10,9,5,7,3,10,0,None,6,61,55,48,51,47,40,93,74,55,30.02,29.9,29.77,10,9,5,32,13,40,1.08,Rain,6,86,71,56,56,49,43,84,55,25,30.13,30.05,29.94,10,10,10,9,3,10,0,None,6,80,67,54,56,54,49,100,92,83,29.9,29.87,29.84,10,10,6,18,8,22,0.03,Rain,6,71,62,53,53,52,50,93,74,55,29.88,29.84,29.8,10,10,10,25,14,30,0,None,6,67,61,54,51,50,49,83,70,56,30.02,30,29.97,10,10,10,25,13,32,0,None,6,68,62,56,52,51,50,86,71,55,29.92,29.9,29.87,10,10,9,26,14,32,0,None,6,84,69,54,58,51,44,83,55,26,29.89,29.86,29.83,10,10,10,28,9,32,0,None,6,75,64,53,55,48,42,83,59,35,30.09,30.04,29.99,10,10,10,23,8,26,0,None,6,67,64,60,59,57,55,90,84,78,30.12,30.09,30.05,10,9,2,12,5,15,0,None,6,56,50,43,40,38,34,71,61,50,30.15,30.1,30.06,10,10,10,23,9,27,0,None
7,53,49,44,46,44,41,93,85,77,30.05,29.95,29.78,10,10,9,14,4,16,0.01,None,7,68,58,47,51,47,43,89,66,42,30.31,30.24,30.17,10,10,10,12,2,12,0,None,7,58,54,50,48,46,42,89,75,61,30,29.84,29.72,10,10,6,37,13,45,0.13,Rain,7,73,67,60,56,53,45,84,61,38,29.97,29.94,29.9,10,10,10,20,8,26,0,None,7,63,59,54,57,55,53,100,89,78,29.99,29.94,29.9,10,10,10,15,8,18,0.01,Rain,7,70,64,57,55,54,52,86,72,57,29.98,29.91,29.87,10,10,10,26,13,30,0,None,7,63,59,55,53,52,51,86,77,67,30.03,30.01,29.98,10,10,8,28,15,33,0,None,7,70,63,56,52,51,50,80,67,53,29.94,29.89,29.85,10,10,10,23,13,28,0,None,7,88,73,58,62,54,49,80,54,27,30,29.91,29.85,10,10,9,24,8,27,0,None,7,84,69,54,55,45,37,78,51,23,30.03,29.97,29.9,10,10,9,22,6,25,0,None,7,69,63,57,59,57,55,93,81,68,30.17,30.13,30.11,10,10,10,8,2,8,0,None,7,51,47,42,46,39,31,93,70,46,30.2,30.14,30.06,10,8,2,17,7,19,0.44,Rain
8,51,47,42,46,43,40,92,83,74,30.13,30.09,30.05,10,10,8,8,3,9,0,Rain,8,73,62,51,51,46,43,83,59,35,30.25,30.2,30.16,10,10,10,12,5,14,0,None,8,57,52,47,48,44,40,83,72,61,30.14,30.1,30.02,10,10,9,22,8,29,0,Rain,8,67,63,59,59,56,54,93,81,68,29.93,29.89,29.87,10,9,2,16,8,18,0.31,Rain,8,67,61,55,57,55,53,100,84,67,30,29.97,29.95,10,10,10,20,10,25,0.01,Rain,8,69,64,58,54,52,51,86,72,58,29.98,29.96,29.93,10,10,10,25,16,32,0,None,8,69,63,56,57,54,52,93,78,63,30.05,30.03,30.01,10,9,7,26,14,30,0,Rain,8,73,65,56,53,53,51,86,68,49,29.88,29.85,29.83,10,10,10,30,12,38,0,None,8,73,65,57,58,54,52,80,69,57,30.11,30.05,30.01,10,10,10,22,10,26,0,None,8,84,71,57,56,47,41,73,50,26,29.94,29.9,29.86,10,10,10,20,6,23,0,None,8,72,65,57,61,57,54,87,74,61,30.18,30.13,30.08,10,10,10,22,6,26,0,None,8,61,55,49,58,53,47,96,92,87,30.2,30.12,30.05,10,4,1,16,7,18,1.32,Rain
9,54,52,49,48,46,45,93,85,77,30.17,30.12,30.09,10,9,3,13,5,16,0.06,Rain,9,71,60,49,52,49,43,86,65,44,30.24,30.18,30.14,10,10,10,21,3,24,0,None,9,65,59,52,58,53,48,93,83,72,30.1,30.07,30.04,10,8,2,20,7,23,0.08,Rain,9,65,61,57,61,56,50,100,90,80,29.95,29.91,29.87,10,9,3,15,7,17,0.2,Rain,9,68,60,52,54,53,52,100,80,59,30,29.97,29.94,10,10,10,21,10,25,0,None,9,64,61,57,54,52,51,86,77,67,29.99,29.96,29.92,10,10,6,31,16,36,0,None,9,72,65,58,59,56,51,90,76,61,30.13,30.09,30.03,10,10,8,28,16,35,0,None,9,76,67,57,56,53,52,80,63,46,29.86,29.83,29.81,10,10,10,24,11,27,0,None,9,67,62,56,54,53,52,93,78,63,30.05,30.02,29.98,10,10,8,25,13,31,0,None,9,80,67,53,57,51,46,86,59,32,29.98,29.95,29.92,10,10,10,21,8,23,0,None,9,75,66,57,60,56,52,87,71,54,30.14,30.07,30,10,10,10,14,4,16,0,None,9,63,60,56,58,55,54,93,86,78,30.26,30.18,30.12,10,9,4,21,7,27,0.04,Rain
10,54,52,50,48,46,45,93,85,77,30.25,30.2,30.16,10,9,6,15,7,17,0,Rain,10,67,59,50,54,50,44,86,71,56,30.28,30.2,30.15,10,10,8,12,3,14,0,None,10,63,61,58,59,55,49,78,69,60,30.04,29.98,29.88,10,8,2,15,11,22,0,Rain,10,58,57,55,55,51,48,93,83,72,30.01,29.92,29.87,10,10,9,15,9,19,0.09,Rain,10,67,60,52,58,54,47,100,84,68,30.01,29.98,29.95,10,10,8,25,10,29,0,None,10,68,61,54,51,49,47,86,66,45,30.04,29.98,29.91,10,10,10,32,22,38,0,None,10,73,65,56,53,51,48,86,65,44,30.11,30.05,29.97,10,10,10,30,19,37,0,None,10,74,65,56,56,53,51,93,73,53,29.94,29.89,29.84,10,10,10,23,10,26,0,None,10,67,61,55,54,53,52,93,78,63,30.08,30.04,30.02,10,9,7,25,13,30,0,None,10,71,62,52,52,50,49,96,75,53,30.02,29.98,29.94,10,10,9,22,10,25,0,None,10,73,65,57,62,57,54,90,76,61,30.06,30.04,30,10,10,8,13,3,14,0,None,10,61,57,52,58,56,48,93,85,77,30.16,30.09,30.04,10,7,2,18,10,22,0.64,Rain
